time	A	X	Y	B
0	3.06824395399821	2.18425867481944	2.34501365701889	NA
10	3.24817408550865	-1.43397831375645	3.2761613823442	-1.91492685836122
20	2.98153481318321	-2.42502036080884	2.36995952929792	-1.54844985898447
30	2.74464561478234	-0.306041003884818	1.10444755018724	-1.5070848832662
40	3.09259834202663	1.40649632786887	0.742671314462664	-1.3165520032177
50	2.33271339090997	0.757280626435881	3.15155537098359	-1.36407389419804
60	2.21518328932535	-1.45436287348448	2.48156475677973	-1.09212594308232
70	2.67623763873661	-1.87621732291396	1.46974576784034	-0.629730792797777
80	2.30706091688138	-0.939096367603962	-0.0522223735137377	-0.892346156364331
90	2.04288896538533	0.922225077218031	-0.830928252085275	-0.190576210197451
100	1.76254235175015	1.83943668675917	1.4898108376705	-0.377566447203004
110	1.50867363436933	0.685555598737611	2.67345909894996	-0.48224782334639
120	1.57696283609592	-1.66736607392598	1.90485600673293	-0.231174165774689
130	1.59369712739782	-1.38232580311579	0.170544171524606	0.251467270797131
140	1.61483710148289	-1.16958762132262	-0.442734238320956	0.379302814195589
150	1.12692407488521	0.059806703024079	-1.39485644393232	0.191286424822222
160	1.23519417294767	0.902855168728671	-1.19402162208364	-0.330800624430451
170	1.00613857201307	1.69895189102367	-0.436676580241924	-0.136897548827797
180	0.709508921754471	1.45163654154092	1.45608425999474	-0.439004941048799
190	0.400540466631081	-0.154464793850524	1.75237470506537	0.402384369527281
200	0.327556002994173	-1.09569780319768	0.719932741760878	0.144188375439866
210	0.549059024991028	-1.13401407509738	-0.229174883153098	0.400179318264136
220	0.328649778014285	-0.841224060503852	-1.57654768194156	0.620773139320023
230	0.428428936240581	-0.528306146143063	-2.05117470966567	0.291452515390954
240	0.200954537212076	0.12371369296799	-2.4720128378624	0.46077376580294
250	0.0824240105348828	0.073345419043334	-3.35836095031722	0.116102802360049
260	-0.0926159445317785	0.492063268755047	-3.23614046612804	0.702988449946207
270	-0.371828874187404	1.1376027026848	-3.18523896652249	0.729480887087998
280	-0.537514087627277	1.20834236195476	-1.63621905727696	-0.139547030593445
290	-0.421710025405933	1.16315887801565	-0.818685567028462	-0.157673480757066
300	-1.11237847606024	1.19935063055082	-0.141667144796836	0.491780838860796
310	-0.99817660648958	0.502227256407218	-0.0366459037642271	0.21517790028674
320	-1.06832152798916	-0.587080235603707	0.192578959963299	0.335671304185888
330	-1.08728337774905	-1.01668072221982	-0.361236014568524	0.636729789474622
340	-1.29937106761186	-0.749164264829414	-1.65682045140624	0.767837208775539
350	-1.44578451930555	-0.429856022171078	-2.1893959659673	0.593345324728796
360	-1.56900930414908	-0.256213045686644	NA	0.077935622124942
370	-1.42564910715705	-0.734525183796395	NA	-0.00476946315021193
380	-1.8359537511027	-0.183482725290946	NA	-0.0573582431211948
390	-1.76092007511163	-0.163724732302485	NA	0.635141192027362
400	-1.840682496144	-0.431778127342256	NA	0.211064281219481
410	-1.96247720596468	-0.0227554737298927	NA	0.230396308031627
420	-1.85207627054172	0.014009048383155	NA	0.873830077656555
430	-2.11199614485939	0.065177359800356	NA	0.504977575594491
440	-1.90614080540409	0.233382437835676	NA	0.948536855569157
450	-1.991718163707	0.0879147128475122	NA	0.109825478577813
460	-2.66057033920988	0.344709616481314	NA	0.542353088476148
470	-2.59729076583315	0.776921698787912	NA	0.544649868168625
480	-3.23162637805801	0.735622521299317	NA	0.201650544210634
490	-2.94818759228908	0.361088083936973	NA	0.13348929115391
500	-3.032089653563	0.555830166673839	NA	0.0681336866450331
