time	A	X	Y	B
0	1	0.1	0.1	1e-06
10	0.863579682879336	0.010168718030788	0.159472682146545	0.166779916943331
20	0.84865442861823	0.00490465324413253	0.0698401965720799	0.276601721565557
30	0.828168713775381	0.0144770248550047	0.0328042926388249	0.324550968730789
40	0.746722487967467	0.0652739884466156	0.033982789454551	0.354021734131366
50	0.590708245543376	0.0493799461696434	0.130261962736485	0.429650845550495
60	0.555900824564517	0.00767644165535786	0.0879581548776735	0.548465578902451
70	0.545489685802057	0.00653625382645277	0.0390917282175236	0.608883332153966
80	0.530088385679542	0.0144545550386697	0.0191501024045816	0.636307956877206
90	0.490697989859125	0.0417248745817277	0.0152493323528712	0.652328803206275
100	0.404510513891709	0.0817738730725776	0.0387053657410654	0.675011247294647
110	0.337165144162411	0.0302675669044402	0.0879779749710126	0.744590313962135
120	0.321129641324984	0.00921853293611585	0.0526862201538892	0.816966605585009
130	0.313545527828976	0.00786746930871063	0.0246147543691461	0.853973248493166
140	0.304797676054131	0.0118112254785276	0.0120166935362132	0.871375404931127
150	0.290314655227842	0.0219489363816192	0.00719318608311503	0.880544222307423
160	0.264639555517338	0.0415318807723046	0.00668088472459583	0.88714867898576
170	0.224747145824682	0.0667596659450877	0.0125926333132394	0.895901554916989
180	0.182690972914505	0.0617566134067518	0.0367779116501054	0.918775502028637
190	0.160824906569409	0.02545141352336	0.0484090098325655	0.965315670074664
200	0.152678535289937	0.0123596264715478	0.0299498744519959	1.00501296378652
210	0.147820276587532	0.0100576180190476	0.0152241935403559	1.02689891185306
220	0.143265736355886	0.0111970421418169	0.0076585599520797	1.03787966155022
230	0.137933930811123	0.0144100277985841	0.00411683112099393	1.0435402102693
240	0.131140038403773	0.0196054507908064	0.00250977242833497	1.04674573837708
250	0.122365764387123	0.0269224261821126	0.00184548645285431	1.04886732297791
260	0.111347904732062	0.036288570873216	0.00174427652703895	1.05062024786768
270	0.0982938877054598	0.0469270325908301	0.00223307003197325	1.05254700967174
280	0.0841027225872947	0.0565230745983805	0.00390653520207134	1.05546866761225
290	0.0704580583629545	0.0598015976555171	0.00843640802212798	1.0613049359594
300	0.0595445669636765	0.0500437913121862	0.0167011734022389	1.0737114683219
310	0.0526011383593882	0.0327304145194789	0.0212300465441915	1.09343940057694
320	0.0486193136759907	0.0210945899664781	0.0171591582057911	1.11312793815174
330	0.0460429580510608	0.0159917496333276	0.0108809349832923	1.12708535733232
340	0.0440265462483572	0.0142268193922992	0.00626448687579844	1.13548314748354
350	0.0422104659781002	0.0140372853223585	0.00351160082106037	1.14024164787848
360	0.0404377605963027	0.0146663565267592	0.00198400367803659	1.1429128791989
370	0.0386364744149053	0.0157748062135704	0.00115116649596054	1.14443855287556
380	0.0367746187330653	0.0171937660322514	0.000693990623790511	1.14533862461089
390	0.0348418715795246	0.0188284718560853	0.000438055287811696	1.14589260127658
400	0.0328411601453092	0.0206181383719706	0.000291150839873434	1.14625055064285
410	0.0307841788768172	0.0225175716536903	0.000204440141191293	1.1464948093283
420	0.028688731542654	0.0244891088145444	0.000152170419939087	1.14667098922286
430	0.0265765302219131	0.0264983230869423	0.000120247356330775	1.14680589933481
440	0.0244714914141938	0.0285128940731845	0.000100966846495889	1.14691564766612
450	0.0223980798744118	0.0305023277231055	9.00511249237749e-05	1.14701054127756
460	0.0203798219818776	0.0324382914206176	8.51899020079432e-05	1.1470976966955
470	0.018438107129801	0.0342950416815059	8.53078496000739e-05	1.14718254333909
480	0.0165911746683052	0.0360497571942693	9.01827299142405e-05	1.14726988540751
490	0.0148534909478847	0.0376825241014003	0.000100313161436992	1.14736467178928
500	0.0132356213255364	0.0391757569797077	0.000116928999773455	1.14747269269498
